source,samples,labels,proba,success,test
cnd-5000-d1.en-0,896,46,0.6257033050250091,True,1
cnd-5000-d1.en-1,491,45,0.6067903530355623,True,0
cnd-5000-d1.en-2,566,40,0.6154021189817744,True,1
cnd-5000-d1.en-3,562,43,0.6156274164015509,True,0
cnd-5000-d1.en-4,1353,43,0.6382319199582063,True,0
cnd-5000-d1.en-5,981,44,0.625505550422973,True,0
cnd-5000-d1.en-6,794,48,0.6210264689756262,True,1
cnd-5000-d1.en-7,1127,45,0.6404784676694389,True,0
cnd-5000-r.en-0,660,48,0.633457242549844,True,0
cnd-5000-r.en-1,790,40,0.626961289666291,True,0
cnd-5000-r.en-2,921,46,0.6075159260614477,True,0
cnd-5000-r.en-3,783,52,0.6224010787917607,True,1
cnd-5000-r.en-4,854,48,0.6178596797389025,True,0
cnd-5000-r.en-5,693,49,0.6079647181560188,True,0
cnd-5000-r.en-6,657,44,0.6085784455024904,True,0
cnd-5000-r.en-7,1131,53,0.6375332240849233,True,1
cnd-5000-s11.en-0,853,43,0.6181017057616622,True,0
cnd-5000-s11.en-1,951,45,0.6510985362187887,True,0
cnd-5000-s13.en-0,940,38,0.6500826924249967,True,0
cnd-5000-s13.en-1,373,43,0.6155320802844791,True,0
cnd-5000-s7.en-0,938,42,0.6651184120101374,True,0
cnd-5000-s7.en-1,1161,46,0.6618625853896255,True,0
cnd-5000-s7.en-2,1143,50,0.6478767123098518,True,0
cnd-5000-s7.en-3,666,43,0.6513819640358637,True,1
cnd-5000-s9.fr-0,1037,54,0.6212267038976891,True,0
cnd-5001-d.en-0,627,42,0.6080722753561033,True,1
cnd-5001-d.en-1,496,40,0.6063168031955467,True,1
cnd-5001-d.en-2,416,37,0.6010542955906171,True,1
cnd-5002-c.en-0,682,49,0.617346876202386,True,0
cnd-5002-c.en-1,578,48,0.6090807559160842,True,1
cnd-5002-c.en-2,627,43,0.6084717788644406,True,0
cnd-5002-c.en-3,733,46,0.6182705546959407,True,0
cnd-5002-c.fr-0,852,53,0.6135892788003026,True,0
cnd-5002-c.fr-1,814,52,0.6165638068581422,True,0
cnd-5002-c.fr-2,790,48,0.600508298198801,True,0
cnd-5002-c.fr-3,849,44,0.6042948974678678,True,0
cnd-5002-s11.en-0,904,47,0.6294653822536872,True,0
cnd-5002-s11.en-1,575,37,0.642385611419191,True,0
cnd-5003-d.fr-0,588,43,0.6064001257934574,True,0
cnd-5003-d.fr-1,498,39,0.5987771636215561,True,0
cnd-5003-d.fr-2,891,44,0.6253290688036672,True,0
cnd-5003-d.fr-3,990,51,0.6347993044202944,True,0
cnd-5005-r.en-0,664,49,0.6336291783098134,True,0
cnd-5005-r.en-1,783,40,0.6260584715736899,True,0
cnd-5005-r.en-2,919,47,0.608721086901284,True,1
cnd-5005-r.en-3,757,52,0.6173321250251356,True,1
cnd-5005-r.en-4,850,48,0.6174169356165604,True,0
cnd-5005-r.en-5,817,50,0.6088271639178784,True,0
cnd-5005-r.en-6,571,44,0.606667008188676,True,0
cnd-5005-r.en-7,1171,56,0.635241704103226,True,0
cnd-5005-s10.en-0,1062,47,0.6306676423957782,True,0
cnd-5005-s10.en-1,334,37,0.6200658544533671,True,0
cnd-5005-s2.en-0,1176,48,0.6388722696246935,True,0
cnd-5005-s6.en-0,1807,40,0.661052990107885,True,0
cnd-5005-s6.en-1,892,43,0.6336660079006428,True,0
cnd-5005-s6.en-2,725,44,0.6238268860715724,True,0
cnd-5005-s6.en-3,789,39,0.628859915387274,True,0
cnd-5005-s6.en-4,575,42,0.6229902508897608,True,0
cnd-5006-d1.fr-0,680,48,0.6230218582103165,True,1
cnd-5006-d1.fr-1,708,46,0.619405002817361,True,0
cnd-5006-r.en-0,664,48,0.6339061463102468,True,0
cnd-5006-r.en-1,1254,49,0.6270534889373484,True,0
cnd-5006-r.en-2,913,47,0.6070977536729553,True,0
