label,count,weight
e,2893.0,0.0007
o,2893.0,0.0007
a,2892.0,0.0007
m,2885.0,0.0007
n,2888.0,0.0007
s,2882.0,0.0007
u,2879.0,0.0007
g,2882.0,0.0007
t,2878.0,0.0007
d,2878.0,0.0007
p,2877.0,0.0007
c,2876.0,0.0007
v,2844.0,0.0007
P,2854.0,0.0007
f,2832.0,0.0007
b,2788.0,0.0007
2,2755.0,0.0007
h,2733.0,0.0007
C,2740.0,0.0007
x,2639.0,0.0008
S,2680.0,0.0007
A,2662.0,0.0008
y,2631.0,0.0008
T,2633.0,0.0008
r,2694.0,0.0007
R,2494.0,0.0008
E,2477.0,0.0008
0,2410.0,0.0008
3,2404.0,0.0008
4,2387.0,0.0008
F,2271.0,0.0009
N,2286.0,0.0009
D,2284.0,0.0009
B,2307.0,0.0009
q,2252.0,0.0009
5,2266.0,0.0009
6,2025.0,0.001
M,1864.0,0.0011
L,1779.0,0.0011
7,1849.0,0.0011
w,1892.0,0.0011
8,1791.0,0.0011
9,1785.0,0.0011
U,1573.0,0.0013
O,1541.0,0.0013
G,1501.0,0.0013
z,1408.0,0.0014
-,1531.0,0.0013
k,1259.0,0.0016
H,1206.0,0.0017
V,1095.0,0.0018
Y,1089.0,0.0018
é,1074.0,0.0019
à,1043.0,0.0019
$,919.0,0.0022
☐,982.0,0.002
%,851.0,0.0024
J,815.0,0.0025
W,842.0,0.0024
Q,747.0,0.0027
è,758.0,0.0026
ê,728.0,0.0027
i,864.0,0.0023
ç,499.0,0.004
),564.0,0.0035
ô,366.0,0.0055
(,534.0,0.0037
/,444.0,0.0045
Z,379.0,0.0053
?,344.0,0.0058
ù,320.0,0.0062
K,331.0,0.006
X,334.0,0.006
•,409.0,0.0049
l,240.0,0.0083
É,193.0,0.0104
▶,182.0,0.011
j,197.0,0.0102
+,162.0,0.0123
.,247.0,0.0081
û,114.0,0.0175
*,118.0,0.0169
I,183.0,0.0109
1,191.0,0.0105
",",165.0,0.0121
î,79.0,0.0253
â,80.0,0.025
À,84.0,0.0238
&,68.0,0.0294
►,50.0,0.04
=,73.0,0.0274
',59.0,0.0339
▲,38.0,0.0526
◄,19.0,0.1053
±,12.0,0.1667
Ô,8.0,0.25
°,8.0,0.25
#,17.0,0.1176
œ,11.0,0.1818
>,4.0,0.5
;,12.0,0.1667
¼,5.0,0.4
:,16.0,0.125
_,3.0,0.6667
÷,3.0,0.6667
≤,3.0,0.6667
§,3.0,0.6667
@,5.0,0.4
»,2.0,1.0
Ç,2.0,1.0
[,2.0,1.0
✓,7.0,0.2857
È,2.0,1.0
Î,6.0,0.3333
◀,2.0,1.0
½,5.0,0.4
▼,2.0,1.0
á,2.0,1.0
ó,2.0,1.0
Text,1340.0,0.0015
Button,524.0,0.0038
ComboBox,61.0,0.0328
Signature,2.0,1.0
